,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
36,1,3,male,0.5235121107266435,0,0,0.11777931286168605,C,Third,man,True,Cherbourg,yes,True,0
37,0,3,male,0.3529411764705882,0,0,0.13115192117199315,S,Third,man,True,Southampton,no,True,0
38,0,3,female,0.2941176470588235,2,0,0.2932589541734008,S,Third,woman,False,Southampton,no,False,2
39,1,3,female,0.21568627450980393,1,0,0.1831516213961733,C,Third,child,False,Cherbourg,yes,False,1
40,0,3,female,0.7254901960784313,1,0,0.15436825504405402,S,Third,woman,False,Southampton,no,False,1
41,0,2,female,0.47058823529411764,1,0,0.34213544653563427,S,Second,woman,False,Southampton,no,False,1
42,0,3,male,0.5235121107266435,0,0,0.12863966946457434,C,Third,man,True,Cherbourg,no,True,0
43,1,2,female,0.0,1,2,0.6774151504092593,C,Second,child,False,Cherbourg,yes,False,3
44,1,3,female,0.3137254901960784,0,0,0.12836921954016997,Q,Third,woman,False,Queenstown,yes,True,0
45,0,3,male,0.5235121107266435,0,0,0.13115192117199315,S,Third,man,True,Southampton,no,True,0
46,0,3,male,0.5235121107266435,1,0,0.25252854387153956,Q,Third,man,True,Queenstown,no,False,1
48,0,3,male,0.5235121107266435,2,0,0.35320108440644393,C,Third,man,True,Cherbourg,no,False,2
49,0,3,female,0.2941176470588235,1,0,0.2900005213492519,S,Third,woman,False,Southampton,no,False,1
50,0,3,male,0.07843137254901962,4,1,0.6465952635420469,S,Third,child,False,Southampton,no,False,5
51,0,3,male,0.3529411764705882,0,0,0.12707888014180702,S,Third,man,True,Southampton,no,True,0
53,1,2,female,0.5098039215686274,1,0,0.4235962671393567,S,Second,woman,False,Southampton,yes,False,1
55,1,1,male,0.5235121107266435,0,0,0.5783718262864294,S,First,man,True,Southampton,yes,True,0
56,1,2,female,0.3529411764705882,0,0,0.17106772326781713,S,Second,woman,False,Southampton,yes,True,0
57,0,3,male,0.5,0,0,0.11777931286168605,C,Third,man,True,Cherbourg,no,True,0
58,1,2,female,0.0392156862745098,1,2,0.4521075543506596,S,Second,child,False,Southampton,yes,False,3
59,0,3,male,0.1568627450980392,5,2,0.7641024972629165,S,Third,child,False,Southampton,no,False,7
60,0,3,male,0.37254901960784315,0,0,0.11777931286168605,C,Third,man,True,Cherbourg,no,True,0
63,0,3,male,0.0196078431372549,3,2,0.45455137896877124,S,Third,child,False,Southampton,no,False,5
64,0,1,male,0.5235121107266435,0,0,0.45163182315833383,C,First,man,True,Cherbourg,no,True,0
65,1,3,male,0.5235121107266435,1,1,0.2483870757520463,C,Third,man,True,Cherbourg,yes,False,2
66,1,2,female,0.5098039215686274,0,0,0.17106772326781713,S,Second,woman,False,Southampton,yes,True,0
67,0,3,male,0.3137254901960784,0,0,0.13291636254626976,S,Third,man,True,Southampton,no,True,0
68,1,3,female,0.2745098039215686,4,2,0.12911540065690008,S,Third,woman,False,Southampton,yes,False,6
69,0,3,male,0.4509803921568627,2,0,0.14113087169594912,S,Third,man,True,Southampton,no,False,2
70,0,2,male,0.5686274509803921,0,0,0.17106772326781713,S,Second,man,True,Southampton,no,True,0
71,0,3,female,0.2549019607843137,5,2,0.7641024972629165,S,Third,woman,False,Southampton,no,False,7
73,0,3,male,0.4509803921568627,1,0,0.23549019863406498,C,Third,man,True,Cherbourg,no,False,1
74,1,3,male,0.5686274509803921,0,0,0.9204388457327565,S,Third,man,True,Southampton,yes,True,0
75,0,3,male,0.4313725490196078,0,0,0.12463505552369535,S,Third,man,True,Southampton,no,True,0
79,1,3,female,0.5294117647058824,0,0,0.20324474740628748,S,Third,woman,False,Southampton,yes,True,0
80,0,3,male,0.37254901960784315,0,0,0.1466294770867004,S,Third,man,True,Southampton,no,True,0
81,1,3,male,0.5098039215686274,0,0,0.15477555914707264,S,Third,man,True,Southampton,yes,True,0
82,1,3,female,0.5235121107266435,0,0,0.1268752280902977,Q,Third,woman,False,Queenstown,yes,True,0
83,0,1,male,0.4901960784313726,0,0,0.7673609300870654,S,First,man,True,Southampton,no,True,0
84,1,2,female,0.2745098039215686,0,0,0.17106772326781713,S,Second,woman,False,Southampton,yes,True,0
85,1,3,female,0.5882352941176471,3,0,0.25823080131380016,S,Third,woman,False,Southampton,yes,False,3
86,0,3,male,0.2549019607843137,1,3,0.5600431416505918,S,Third,man,True,Southampton,no,False,4
89,0,3,male,0.4117647058823529,0,0,0.13115192117199315,S,Third,man,True,Southampton,no,True,0
90,0,3,male,0.5098039215686274,0,0,0.13115192117199315,S,Third,man,True,Southampton,no,True,0
91,0,3,male,0.3333333333333333,0,0,0.12796191543715135,S,Third,man,True,Southampton,no,True,0
92,0,1,male,0.8431372549019608,1,0,0.9966731400865441,S,First,man,True,Southampton,no,False,1
93,0,3,male,0.4509803921568627,1,2,0.33521127678431784,S,Third,man,True,Southampton,no,False,3
98,1,2,female,0.6078431372549019,0,1,0.37471977477712326,S,Second,woman,False,Southampton,yes,False,1
99,0,2,male,0.6078431372549019,1,0,0.4235962671393567,S,Second,man,True,Southampton,no,False,1
100,0,3,female,0.4901960784313726,0,0,0.12863966946457434,S,Third,woman,False,Southampton,no,True,0
103,0,3,male,0.5882352941176471,0,0,0.14099564673374695,S,Third,man,True,Southampton,no,True,0
104,0,3,male,0.6666666666666666,2,0,0.12911540065690008,S,Third,man,True,Southampton,no,False,2
105,0,3,male,0.4901960784313726,0,0,0.12863966946457434,S,Third,man,True,Southampton,no,True,0
106,1,3,female,0.3529411764705882,0,0,0.12463505552369535,S,Third,woman,False,Southampton,yes,True,0
107,1,3,male,0.5235121107266435,0,0,0.1266715760387884,S,Third,man,True,Southampton,yes,True,0
108,0,3,male,0.6862745098039216,0,0,0.12863966946457434,S,Third,man,True,Southampton,no,True,0
109,1,3,female,0.5235121107266435,1,0,0.3934557635159794,Q,Third,woman,False,Queenstown,yes,False,1
110,0,1,male,0.8627450980392156,0,0,0.8471925342787134,S,First,man,True,Southampton,no,True,0
111,0,3,female,0.22549019607843135,1,0,0.23549019863406498,C,Third,child,False,Cherbourg,no,False,1
112,0,3,male,0.37254901960784315,0,0,0.13115192117199315,S,Third,man,True,Southampton,no,True,0
113,0,3,female,0.3333333333333333,1,0,0.1600705124863146,S,Third,woman,False,Southampton,no,False,1
114,0,3,female,0.2745098039215686,0,0,0.23555699650696002,C,Third,woman,False,Cherbourg,no,True,0
115,0,3,male,0.3529411764705882,0,0,0.12911540065690008,S,Third,man,True,Southampton,no,True,0
117,0,2,male,0.5098039215686274,1,0,0.34213544653563427,S,Second,man,True,Southampton,no,False,1
122,0,2,male,0.5784313725490196,1,0,0.4899184088420833,C,Second,man,True,Cherbourg,no,False,1
123,1,2,female,0.5784313725490196,0,0,0.21179813356967836,S,Second,woman,False,Southampton,yes,True,0
125,1,3,male,0.1764705882352941,1,0,0.1831516213961733,C,Third,child,False,Cherbourg,yes,False,1
126,0,3,male,0.5235121107266435,0,0,0.12626427193576978,Q,Third,man,True,Queenstown,no,True,0
127,1,3,male,0.4117647058823529,0,0,0.11635374850112092,S,Third,man,True,Southampton,yes,True,0
128,1,3,female,0.5235121107266435,1,1,0.3642650930608415,C,Third,woman,False,Cherbourg,yes,False,2
129,0,3,male,0.8235294117647058,0,0,0.11363784474219281,S,Third,man,True,Southampton,no,True,0
130,0,3,male,0.5882352941176471,0,0,0.12863966946457434,C,Third,man,True,Cherbourg,no,True,0
131,0,3,male,0.3333333333333333,0,0,0.11485975705124864,S,Third,man,True,Southampton,no,True,0
132,0,3,female,0.8627450980392156,1,0,0.2362363797507951,S,Third,woman,False,Southampton,no,False,1
134,0,2,male,0.4313725490196078,0,0,0.21179813356967836,S,Second,man,True,Southampton,no,True,0
135,0,2,male,0.39215686274509803,0,0,0.24512864292789743,C,Second,man,True,Cherbourg,no,True,0
136,1,1,female,0.3137254901960784,0,2,0.42821183723476364,S,First,woman,False,Southampton,yes,False,2
137,0,1,male,0.6666666666666666,1,0,0.8651139148115323,S,First,man,True,Southampton,no,False,1
138,0,3,male,0.2549019607843137,0,0,0.15015998905166572,S,Third,man,True,Southampton,no,True,0
140,0,3,female,0.5235121107266435,0,2,0.2483870757520463,C,Third,woman,False,Cherbourg,no,False,2
141,1,3,female,0.37254901960784315,0,0,0.12626427193576978,S,Third,woman,False,Southampton,yes,True,0
142,1,3,female,0.4117647058823529,1,0,0.25823080131380016,S,Third,woman,False,Southampton,yes,False,1
143,0,3,male,0.3137254901960784,0,0,0.1099721078150253,Q,Third,man,True,Queenstown,no,True,0
144,0,2,male,0.2941176470588235,0,0,0.18735988738856163,S,Second,man,True,Southampton,no,True,0
145,0,2,male,0.3137254901960784,1,1,0.59873703143736,S,Second,man,True,Southampton,no,False,2
146,1,3,male,0.47058823529411764,0,0,0.1270104530524999,S,Third,man,True,Southampton,yes,True,0
147,0,3,female,0.1176470588235294,2,2,0.5600431416505918,S,Third,child,False,Southampton,no,False,4
148,0,2,male,0.6568627450980392,0,2,0.4235962671393567,S,Second,man,True,Southampton,no,False,2
149,0,2,male,0.7647058823529411,0,0,0.21179813356967836,S,Second,man,True,Southampton,no,True,0
150,0,2,male,0.9411764705882353,0,0,0.20405935561232472,S,Second,man,True,Southampton,no,True,0
153,0,3,male,0.7352941176470588,0,2,0.2362363797507951,S,Third,man,True,Southampton,no,False,2
154,0,3,male,0.5235121107266435,0,0,0.11913645013294408,S,Third,man,True,Southampton,no,True,0
155,0,1,male,0.9411764705882353,0,1,1.0,C,First,man,True,Cherbourg,no,False,1
156,1,3,female,0.2549019607843137,0,0,0.12599219279495336,Q,Third,woman,False,Queenstown,yes,True,0
157,0,3,male,0.5294117647058824,0,0,0.13115192117199315,S,Third,man,True,Southampton,no,True,0
158,0,3,male,0.5235121107266435,0,0,0.14113087169594912,S,Third,man,True,Southampton,no,True,0
160,0,3,male,0.803921568627451,0,1,0.2623038423439863,S,Third,man,True,Southampton,no,False,1
161,1,2,female,0.7254901960784313,0,0,0.2566015849017257,S,Second,woman,False,Southampton,yes,True,0
162,0,3,male,0.4509803921568627,0,0,0.1266715760387884,S,Third,man,True,Southampton,no,True,0
163,0,3,male,0.2745098039215686,0,0,0.14113087169594912,S,Third,man,True,Southampton,no,True,0
165,1,3,male,0.1176470588235294,0,2,0.3343966685782806,S,Third,child,False,Southampton,yes,False,2
166,1,1,female,0.5235121107266435,0,1,0.8960690266409469,S,First,woman,False,Southampton,yes,False,1
167,0,3,female,0.8235294117647058,1,4,0.45455137896877124,S,Third,woman,False,Southampton,no,False,5
168,0,1,male,0.5235121107266435,0,0,0.4223743548303009,S,First,man,True,Southampton,no,True,0
169,0,3,male,0.4901960784313726,0,0,0.9204388457327565,S,Third,man,True,Southampton,no,True,0
171,0,3,male,0.0196078431372549,4,1,0.47450928001668324,Q,Third,child,False,Queenstown,no,False,5
175,0,3,male,0.2941176470588235,1,1,0.12796191543715135,S,Third,man,True,Southampton,no,False,2
176,0,3,male,0.5235121107266435,3,1,0.41490765601376367,S,Third,man,True,Southampton,no,False,4
177,0,1,female,0.9215686274509803,0,0,0.4677887623168761,C,First,woman,False,Cherbourg,no,True,0
178,0,2,male,0.5294117647058824,0,0,0.21179813356967836,S,Second,man,True,Southampton,no,True,0
179,0,3,male,0.6470588235294117,0,0,0.0,S,Third,man,True,Southampton,no,True,0
181,0,2,male,0.5235121107266435,0,0,0.24519707001720456,C,Second,man,True,Cherbourg,no,True,0
182,0,3,male,0.1176470588235294,4,2,0.5113703013398676,S,Third,child,False,Southampton,no,False,6
184,1,3,female,0.0196078431372549,0,2,0.3588349147593973,S,Third,child,False,Southampton,yes,False,2
185,0,1,male,0.5235121107266435,0,0,0.8146082060372244,S,First,man,True,Southampton,no,True,0
186,1,3,female,0.5235121107266435,1,0,0.25252854387153956,Q,Third,woman,False,Queenstown,yes,False,1
187,1,1,male,0.8235294117647058,0,0,0.43255695740576616,S,First,man,True,Southampton,yes,True,0
188,0,3,male,0.7254901960784313,1,1,0.25252854387153956,Q,Third,man,True,Queenstown,no,False,2
189,0,3,male,0.6470588235294117,0,0,0.12863966946457434,S,Third,man,True,Southampton,no,True,0
190,1,2,female,0.5686274509803921,0,0,0.21179813356967836,S,Second,woman,False,Southampton,yes,True,0
191,0,2,male,0.3137254901960784,0,0,0.21179813356967836,S,Second,man,True,Southampton,no,True,0
192,1,3,female,0.3137254901960784,1,0,0.12796191543715135,S,Third,woman,False,Southampton,yes,False,1
193,1,2,male,0.0,1,1,0.4235962671393567,S,Second,child,False,Southampton,yes,False,2
194,1,1,female,0.803921568627451,0,0,0.45163182315833383,C,First,woman,False,Cherbourg,yes,True,0
197,0,3,male,0.7647058823529411,0,1,0.13692260570356082,S,Third,man,True,Southampton,no,False,1
199,0,2,female,0.4117647058823529,0,0,0.21179813356967836,S,Second,woman,False,Southampton,no,True,0
200,0,3,male,0.4901960784313726,0,0,0.15477555914707264,S,Third,man,True,Southampton,no,True,0
202,0,3,male,0.6078431372549019,0,0,0.10583063969553205,S,Third,man,True,Southampton,no,True,0
203,0,3,male,0.8333333333333333,0,0,0.11771088577237893,C,Third,man,True,Cherbourg,no,True,0
204,1,3,male,0.2941176470588235,0,0,0.13115192117199315,S,Third,man,True,Southampton,yes,True,0
206,0,3,male,0.5686274509803921,1,0,0.25823080131380016,S,Third,man,True,Southampton,no,False,1
207,1,3,male,0.4509803921568627,0,0,0.3060890334184871,C,Third,man,True,Cherbourg,yes,True,0
208,1,3,female,0.2549019607843137,0,0,0.12626427193576978,Q,Third,woman,False,Queenstown,yes,True,0
209,1,1,male,0.7254901960784313,0,0,0.5050570877430791,C,First,man,True,Cherbourg,yes,True,0
210,0,3,male,0.4117647058823529,0,0,0.11485975705124864,S,Third,man,True,Southampton,no,True,0
211,1,2,female,0.6274509803921569,0,0,0.34213544653563427,S,Second,woman,False,Southampton,yes,True,0
212,0,3,male,0.37254901960784315,0,0,0.11811818987539754,S,Third,man,True,Southampton,no,True,0
214,0,3,male,0.5235121107266435,1,0,0.12626427193576978,Q,Third,man,True,Queenstown,no,False,1
216,1,3,female,0.47058823529411764,0,0,0.12911540065690008,S,Third,woman,False,Southampton,yes,True,0
217,0,2,male,0.7647058823529411,1,0,0.4398884312601012,S,Second,man,True,Southampton,no,False,1
219,0,2,male,0.5294117647058824,0,0,0.17106772326781713,S,Second,man,True,Southampton,no,True,0
220,1,3,male,0.2549019607843137,0,0,0.13115192117199315,S,Third,man,True,Southampton,yes,True,0
221,0,2,male,0.47058823529411764,0,0,0.21179813356967836,S,Second,man,True,Southampton,no,True,0
222,0,3,male,0.9411764705882353,0,0,0.13115192117199315,S,Third,man,True,Southampton,no,True,0
225,0,3,male,0.37254901960784315,0,0,0.15233173452896095,S,Third,man,True,Southampton,no,True,0
226,1,2,male,0.3137254901960784,0,0,0.17106772326781713,S,Second,man,True,Southampton,yes,True,0
227,0,3,male,0.3431372549019608,0,0,0.11811818987539754,S,Third,man,True,Southampton,no,True,0
228,0,2,male,0.2941176470588235,0,0,0.21179813356967836,S,Second,man,True,Southampton,no,True,0
229,0,3,female,0.5235121107266435,3,1,0.41490765601376367,S,Third,woman,False,Southampton,no,False,4
231,0,3,male,0.5098039215686274,0,0,0.1266715760387884,S,Third,man,True,Southampton,no,True,0
233,1,3,female,0.0392156862745098,4,2,0.5113703013398676,S,Third,child,False,Southampton,yes,False,6
234,0,2,male,0.4117647058823529,0,0,0.17106772326781713,S,Second,man,True,Southampton,no,True,0
235,0,3,female,0.5235121107266435,0,0,0.12300583911162088,S,Third,woman,False,Southampton,no,True,0
236,0,2,male,0.803921568627451,1,0,0.4235962671393567,S,Second,man,True,Southampton,no,False,1
237,1,2,female,0.09803921568627451,0,2,0.42766930816954285,S,Second,child,False,Southampton,yes,False,2
238,0,2,male,0.3137254901960784,0,0,0.17106772326781713,S,Second,man,True,Southampton,no,True,0
239,0,2,male,0.5882352941176471,0,0,0.1999863145821386,S,Second,man,True,Southampton,no,True,0
240,0,3,female,0.5235121107266435,1,0,0.23549019863406498,C,Third,woman,False,Cherbourg,no,False,1
242,0,2,male,0.5098039215686274,0,0,0.17106772326781713,S,Second,man,True,Southampton,no,True,0
243,0,3,male,0.37254901960784315,0,0,0.11608166936030448,S,Third,man,True,Southampton,no,True,0
244,0,3,male,0.5294117647058824,0,0,0.11771088577237893,C,Third,man,True,Cherbourg,no,True,0
246,0,3,female,0.4313725490196078,0,0,0.1266715760387884,S,Third,woman,False,Southampton,no,True,0
247,1,2,female,0.4117647058823529,0,2,0.2362363797507951,S,Second,woman,False,Southampton,yes,False,2
248,1,1,male,0.6666666666666666,1,1,0.85622165163443,S,First,man,True,Southampton,yes,False,2
249,0,2,male,1.0,1,0,0.4235962671393567,S,Second,man,True,Southampton,no,False,1
250,0,3,male,0.5235121107266435,0,0,0.11811818987539754,S,Third,man,True,Southampton,no,True,0
251,0,3,female,0.5098039215686274,1,1,0.17045676711328922,S,Third,woman,False,Southampton,no,False,2
253,0,3,male,0.5294117647058824,1,0,0.2623038423439863,S,Third,man,True,Southampton,no,False,1
254,0,3,female,0.7450980392156863,0,2,0.32930536729054793,S,Third,woman,False,Southampton,no,False,2
255,1,3,female,0.5098039215686274,0,2,0.2483870757520463,C,Third,woman,False,Cherbourg,yes,False,2
259,1,2,female,0.9215686274509803,0,1,0.4235962671393567,S,Second,woman,False,Southampton,yes,False,1
261,1,3,male,0.0,4,2,0.5113703013398676,S,Third,child,False,Southampton,yes,False,6
263,0,1,male,0.7254901960784313,0,0,0.0,S,First,man,True,Southampton,no,True,0
264,0,3,female,0.5235121107266435,0,0,0.12626427193576978,Q,Third,woman,False,Queenstown,no,True,0
265,0,2,male,0.6470588235294117,0,0,0.17106772326781713,S,Second,man,True,Southampton,no,True,0
266,0,3,male,0.2549019607843137,4,1,0.6465952635420469,S,Third,man,True,Southampton,no,False,5
267,1,3,male,0.4313725490196078,1,0,0.1266715760387884,S,Third,man,True,Southampton,yes,False,1
270,0,1,male,0.5235121107266435,0,0,0.5050570877430791,S,First,man,True,Southampton,no,True,0
271,1,3,male,0.4313725490196078,0,0,0.0,S,Third,man,True,Southampton,yes,True,0
272,1,2,female,0.7450980392156863,0,1,0.31769720035451754,S,Second,woman,False,Southampton,yes,False,1
273,0,1,male,0.6666666666666666,0,1,0.4838772743861113,C,First,man,True,Cherbourg,no,False,1
276,0,3,female,0.8235294117647058,0,0,0.12626427193576978,S,Third,woman,False,Southampton,no,True,0
277,0,2,male,0.5235121107266435,0,0,0.0,S,Second,man,True,Southampton,no,True,0
278,0,3,male,0.07843137254901962,4,1,0.47450928001668324,Q,Third,child,False,Queenstown,no,False,5
279,1,3,female,0.6274509803921569,1,1,0.3299163234450759,S,Third,woman,False,Southampton,yes,False,2
281,0,3,male,0.4901960784313726,0,0,0.12796191543715135,S,Third,man,True,Southampton,no,True,0
282,0,3,male,0.2549019607843137,0,0,0.15477555914707264,S,Third,man,True,Southampton,no,True,0
283,1,3,male,0.3137254901960784,0,0,0.13115192117199315,S,Third,man,True,Southampton,yes,True,0
284,0,1,male,0.5235121107266435,0,0,0.4235962671393567,S,First,man,True,Southampton,no,True,0
285,0,3,male,0.5882352941176471,0,0,0.14113087169594912,C,Third,man,True,Cherbourg,no,True,0
286,1,3,male,0.5294117647058824,0,0,0.15477555914707264,S,Third,man,True,Southampton,yes,True,0
287,0,3,male,0.37254901960784315,0,0,0.12863966946457434,S,Third,man,True,Southampton,no,True,0
288,1,2,male,0.7647058823529411,0,0,0.21179813356967836,S,Second,man,True,Southampton,yes,True,0
289,1,3,female,0.37254901960784315,0,0,0.12626427193576978,Q,Third,woman,False,Queenstown,yes,True,0
292,0,2,male,0.6470588235294117,0,0,0.2097616130545853,C,Second,man,True,Cherbourg,no,True,0
293,0,3,female,0.4117647058823529,0,0,0.14418565246858872,S,Third,woman,False,Southampton,no,True,0
294,0,3,male,0.4117647058823529,0,0,0.12863966946457434,S,Third,man,True,Southampton,no,True,0
296,0,3,male,0.40196078431372545,0,0,0.11777931286168605,C,Third,man,True,Cherbourg,no,True,0
298,1,1,male,0.5235121107266435,0,0,0.4969110056827069,S,First,man,True,Southampton,yes,True,0
301,1,3,male,0.5235121107266435,2,0,0.37879281580730934,Q,Third,man,True,Queenstown,yes,False,2
302,0,3,male,0.3137254901960784,0,0,0.0,S,Third,man,True,Southampton,no,True,0
303,1,2,female,0.5235121107266435,0,0,0.20120822689119444,Q,Second,woman,False,Queenstown,yes,True,0
308,0,2,male,0.5294117647058824,1,0,0.39101193889786773,C,Second,man,True,Cherbourg,no,False,1
309,1,1,female,0.5294117647058824,0,0,0.9274998696626872,C,First,woman,False,Cherbourg,yes,True,0
312,0,2,female,0.4509803921568627,1,1,0.4235962671393567,S,Second,woman,False,Southampton,no,False,2
314,0,2,male,0.7843137254901961,1,1,0.42766930816954285,S,Second,man,True,Southampton,no,False,2
315,1,3,female,0.4509803921568627,0,0,0.12796191543715135,S,Third,woman,False,Southampton,yes,True,0
316,1,2,female,0.4117647058823529,1,0,0.4235962671393567,S,Second,woman,False,Southampton,yes,False,1
317,0,2,male,1.0,0,0,0.22809029769042283,S,Second,man,True,Southampton,no,True,0
321,0,3,male,0.47058823529411764,0,0,0.12863966946457434,S,Third,man,True,Southampton,no,True,0
322,1,2,female,0.5294117647058824,0,0,0.20120822689119444,Q,Second,woman,False,Queenstown,yes,True,0
323,1,2,female,0.37254901960784315,1,1,0.4724727595015902,S,Second,woman,False,Southampton,yes,False,2
327,1,2,female,0.6470588235294117,0,0,0.21179813356967836,S,Second,woman,False,Southampton,yes,True,0
328,1,3,female,0.5490196078431372,1,1,0.3343966685782806,S,Third,woman,False,Southampton,yes,False,2
329,1,1,female,0.2549019607843137,0,1,0.9446066419894689,C,First,woman,False,Cherbourg,yes,False,1
330,1,3,female,0.5235121107266435,2,0,0.37879281580730934,Q,Third,woman,False,Queenstown,yes,False,2
331,0,1,male,0.8333333333333333,0,0,0.4643266774412179,S,First,man,True,Southampton,no,True,0
333,0,3,male,0.2549019607843137,2,0,0.2932589541734008,S,Third,man,True,Southampton,no,False,2
338,1,3,male,0.8235294117647058,0,0,0.13115192117199315,S,Third,man,True,Southampton,yes,True,0
339,0,1,male,0.8235294117647058,0,0,0.5783718262864294,S,First,man,True,Southampton,no,True,0
342,0,2,male,0.4901960784313726,0,0,0.21179813356967836,S,Second,man,True,Southampton,no,True,0
344,0,2,male,0.6470588235294117,0,0,0.21179813356967836,S,Second,man,True,Southampton,no,True,0
345,1,2,female,0.4117647058823529,0,0,0.21179813356967836,S,Second,woman,False,Southampton,yes,True,0
346,1,2,female,0.7254901960784313,0,0,0.21179813356967836,S,Second,woman,False,Southampton,yes,True,0
347,1,3,female,0.5235121107266435,1,0,0.2623038423439863,S,Third,woman,False,Southampton,yes,False,1
348,1,3,male,0.0,1,1,0.2590454095198374,S,Third,child,False,Southampton,yes,False,2
349,0,3,male,0.7647058823529411,0,0,0.14113087169594912,S,Third,man,True,Southampton,no,True,0
350,0,3,male,0.39215686274509803,0,0,0.1502952140138679,S,Third,man,True,Southampton,no,True,0
351,0,1,male,0.5235121107266435,0,0,0.5702257442260571,S,First,man,True,Southampton,no,True,0
352,0,3,male,0.23529411764705882,1,1,0.11777931286168605,C,Third,child,False,Cherbourg,no,False,2
353,0,3,male,0.4313725490196078,1,0,0.2900005213492519,S,Third,man,True,Southampton,no,False,1
356,1,1,female,0.37254901960784315,0,1,0.8960690266409469,S,First,woman,False,Southampton,yes,False,1
357,0,2,female,0.6862745098039216,0,0,0.21179813356967836,S,Second,woman,False,Southampton,no,True,0
360,0,3,male,0.7254901960784313,1,4,0.45455137896877124,S,Third,man,True,Southampton,no,False,5
361,0,2,male,0.5098039215686274,1,0,0.45163182315833383,C,Second,man,True,Cherbourg,no,False,1
362,0,3,female,0.8235294117647058,0,1,0.23549019863406498,C,Third,woman,False,Cherbourg,no,False,1
363,0,3,male,0.6274509803921569,0,0,0.11485975705124864,S,Third,man,True,Southampton,no,True,0
365,0,3,male,0.5294117647058824,0,0,0.11811818987539754,S,Third,man,True,Southampton,no,True,0
367,1,3,female,0.5235121107266435,0,0,0.11777931286168605,C,Third,woman,False,Cherbourg,yes,True,0
370,1,1,male,0.4313725490196078,1,0,0.9032652755330797,C,First,man,True,Cherbourg,yes,False,1
371,0,3,male,0.2941176470588235,1,0,0.10583063969553205,S,Third,man,True,Southampton,no,False,1
372,0,3,male,0.3137254901960784,0,0,0.13115192117199315,S,Third,man,True,Southampton,no,True,0
374,0,3,female,0.0,3,1,0.3433573588446901,S,Third,child,False,Southampton,no,False,4
376,1,3,female,0.37254901960784315,0,0,0.11811818987539754,S,Third,woman,False,Southampton,yes,True,0
378,0,3,male,0.3333333333333333,0,0,0.06537230853448726,C,Third,man,True,Cherbourg,no,True,0
379,0,3,male,0.3137254901960784,0,0,0.1266715760387884,S,Third,man,True,Southampton,no,True,0
